,f1-score,precision,recall,support
negative,0.9529652351738241,0.9357429718875502,0.9708333333333333,240.0
positive,0.9511677282377919,0.9696969696969697,0.9333333333333333,240.0
micro avg,0.9520833333333333,0.9520833333333333,0.9520833333333333,480.0
macro avg,0.952066481705808,0.95271997079226,0.9520833333333334,480.0
weighted avg,0.9520664817058081,0.9527199707922601,0.9520833333333333,480.0
