,f1-score,precision,recall,support
negative,0.9648033126293997,0.9588477366255144,0.9708333333333333,240.0
positive,0.9643605870020965,0.9704641350210971,0.9583333333333334,240.0
micro avg,0.9645833333333333,0.9645833333333333,0.9645833333333333,480.0
macro avg,0.9645819498157481,0.9646559358233058,0.9645833333333333,480.0
weighted avg,0.9645819498157482,0.9646559358233058,0.9645833333333333,480.0
