,f1-score,precision,recall,support
negative,0.9178947368421052,0.9276595744680851,0.9083333333333333,240.0
positive,0.9195876288659794,0.9102040816326531,0.9291666666666667,240.0
micro avg,0.91875,0.91875,0.91875,480.0
macro avg,0.9187411828540424,0.9189318280503691,0.91875,480.0
weighted avg,0.9187411828540423,0.9189318280503691,0.91875,480.0
