,f1-score,precision,recall,support
negative,0.8731808731808731,0.8713692946058091,0.875,240.0
positive,0.872651356993737,0.8744769874476988,0.8708333333333333,240.0
micro avg,0.8729166666666667,0.8729166666666667,0.8729166666666667,480.0
macro avg,0.872916115087305,0.872923141026754,0.8729166666666667,480.0
weighted avg,0.872916115087305,0.8729231410267541,0.8729166666666667,480.0
