,f1-score,precision,recall,support
negative,0.7172131147540983,0.7056451612903226,0.7291666666666666,240.0
positive,0.7076271186440678,0.7198275862068966,0.6958333333333333,240.0
micro avg,0.7125,0.7125,0.7125,480.0
macro avg,0.7124201166990831,0.7127363737486097,0.7124999999999999,480.0
weighted avg,0.712420116699083,0.7127363737486097,0.7125,480.0
