,f1-score,precision,recall,support
negative,0.9689440993788819,0.9629629629629629,0.975,240.0
positive,0.9685534591194969,0.9746835443037974,0.9625,240.0
micro avg,0.96875,0.96875,0.96875,480.0
macro avg,0.9687487792491893,0.9688232536333802,0.96875,480.0
weighted avg,0.9687487792491893,0.9688232536333802,0.96875,480.0
