,f1-score,precision,recall,support
negative,0.966804979253112,0.9628099173553719,0.9708333333333333,240.0
positive,0.9665271966527197,0.9705882352941176,0.9625,240.0
micro avg,0.9666666666666667,0.9666666666666667,0.9666666666666667,480.0
macro avg,0.9666660879529159,0.9666990763247447,0.9666666666666667,480.0
weighted avg,0.9666660879529159,0.9666990763247447,0.9666666666666667,480.0
