,f1-score,precision,recall,support
negative,0.8952772073921972,0.8825910931174089,0.9083333333333333,240.0
positive,0.8921775898520083,0.9055793991416309,0.8791666666666667,240.0
micro avg,0.89375,0.89375,0.89375,480.0
macro avg,0.8937273986221028,0.8940852461295199,0.89375,480.0
weighted avg,0.8937273986221027,0.8940852461295198,0.89375,480.0
